name,psnr
psnr_61.log,31.362187500000005
psnr_55.log,29.582500000000003
psnr_118.log,26.997499999999995
psnr_143.log,23.601562499999996
psnr_87.log,28.684687500000003
psnr_109.log,28.949375
psnr_1.log,21.6009375
psnr_152.log,27.904375
psnr_38.log,28.514062500000005
psnr_123.log,29.238124999999997
psnr_148.log,30.116562499999997
psnr_30.log,29.529375
psnr_97.log,29.075312500000003
psnr_9.log,23.131875
psnr_24.log,31.307812499999994
psnr_16.log,29.438124999999996
psnr_27.log,31.065312499999997
psnr_29.log,27.154374999999998
psnr_96.log,28.651249999999997
psnr_104.log,29.64874999999999
psnr_56.log,26.59874999999999
psnr_133.log,27.186875000000004
psnr_62.log,30.327812500000004
psnr_128.log,26.482187500000006
psnr_4.log,31.266250000000003
psnr_82.log,28.70625
psnr_78.log,29.545937499999994
psnr_126.log,27.738125000000004
psnr_136.log,26.601562500000004
psnr_120.log,28.055937500000006
psnr_46.log,25.61875
psnr_139.log,29.275624999999994
psnr_105.log,31.203750000000003
psnr_68.log,30.131874999999994
psnr_41.log,33.4871875
psnr_43.log,34.68031249999999
psnr_2.log,24.113749999999996
psnr_50.log,29.966250000000002
psnr_48.log,32.244375000000005
psnr_90.log,29.159687499999997
psnr_45.log,33.47875
psnr_32.log,28.4815625
psnr_69.log,29.675937499999993
psnr_23.log,32.6234375
psnr_47.log,31.101249999999993
psnr_14.log,27.720000000000002
psnr_36.log,24.7928125
psnr_146.log,27.1896875
psnr_135.log,28.6
psnr_115.log,32.78906249999999
psnr_88.log,27.69875
psnr_107.log,27.770625
psnr_59.log,28.84718749999999
psnr_108.log,27.080937500000005
psnr_6.log,31.277187500000004
psnr_117.log,25.821250000000003
psnr_21.log,25.630625000000002
psnr_119.log,19.222187500000004
psnr_145.log,26.0675
psnr_26.log,29.116874999999997
psnr_114.log,25.453750000000003
psnr_40.log,28.652187499999993
psnr_39.log,31.446562500000002
psnr_60.log,28.575937499999995
psnr_132.log,23.033125
psnr_37.log,30.467812499999997
psnr_54.log,24.7990625
psnr_102.log,28.92
psnr_151.log,23.611875000000005
psnr_58.log,24.969375000000003
psnr_28.log,35.63406249999999
psnr_91.log,25.985625
psnr_76.log,29.6521875
psnr_113.log,27.9659375
psnr_71.log,27.610937499999995
psnr_110.log,27.430937499999995
psnr_19.log,24.678750000000004
psnr_86.log,27.9696875
psnr_141.log,28.385937499999997
psnr_150.log,29.633125000000007
psnr_15.log,28.0390625
psnr_18.log,23.57
psnr_98.log,26.122187500000003
psnr_144.log,27.954687500000002
psnr_129.log,31.063750000000006
psnr_25.log,28.005000000000003
psnr_49.log,31.985625
psnr_127.log,27.459375000000005
psnr_94.log,29.3221875
psnr_149.log,27.978124999999995
psnr_44.log,25.1365625
psnr_10.log,23.0578125
psnr_35.log,24.58
psnr_3.log,28.9496875
psnr_147.log,27.322499999999998
psnr_83.log,19.576250000000005
psnr_79.log,29.141250000000003
psnr_93.log,26.877499999999994
psnr_72.log,29.053437500000005
psnr_80.log,24.6615625
psnr_57.log,22.006874999999997
psnr_77.log,25.800312499999993
psnr_51.log,31.7284375
psnr_42.log,35.20906250000001
psnr_20.log,34.207187499999996
psnr_63.log,32.83656250000001
psnr_124.log,28.087187500000002
psnr_112.log,27.284062500000005
psnr_95.log,29.95906249999999
psnr_137.log,28.44375
psnr_73.log,31.51375
psnr_81.log,23.326875000000005
psnr_121.log,27.412187499999998
psnr_13.log,25.285312500000003
psnr_22.log,23.804999999999993
psnr_134.log,31.9059375
psnr_8.log,31.733750000000004
psnr_34.log,32.950624999999995
psnr_99.log,31.526875
psnr_100.log,29.034375000000004
psnr_101.log,28.539062500000004
psnr_125.log,26.5278125
psnr_116.log,31.851875
psnr_89.log,26.205000000000002
psnr_138.log,29.172187499999996
psnr_5.log,25.996875000000003
psnr_53.log,31.199062500000004
psnr_74.log,27.855937499999996
psnr_17.log,23.452500000000004
psnr_85.log,24.790625000000002
psnr_65.log,28.275312499999995
psnr_52.log,32.50562500000001
psnr_142.log,27.7175
psnr_67.log,27.2090625
psnr_64.log,25.30281250000001
psnr_7.log,27.577812499999993
psnr_130.log,26.729999999999997
psnr_92.log,28.989374999999995
psnr_122.log,26.800000000000004
psnr_103.log,30.604687499999994
psnr_75.log,28.314062500000002
psnr_84.log,27.3971875
psnr_106.log,28.136562499999997
psnr_70.log,26.360312500000003
psnr_131.log,30.654999999999998
psnr_66.log,31.7071875
psnr_11.log,29.052812499999995
psnr_0.log,26.360937500000002
psnr_140.log,26.668750000000006
psnr_12.log,28.3128125
psnr_31.log,29.182812500000004
psnr_33.log,26.061562500000008
psnr_111.log,28.600312500000005
psnr_61.log,31.362187500000005
psnr_55.log,29.582500000000003
psnr_118.log,26.997499999999995
psnr_143.log,23.601562499999996
psnr_87.log,28.684687500000003
psnr_109.log,28.949375
psnr_1.log,21.6009375
psnr_152.log,27.904375
psnr_38.log,28.514062500000005
psnr_123.log,29.238124999999997
psnr_148.log,30.116562499999997
psnr_30.log,29.529375
psnr_97.log,29.075312500000003
psnr_9.log,23.131875
psnr_24.log,31.307812499999994
psnr_16.log,29.438124999999996
psnr_27.log,31.065312499999997
psnr_29.log,27.154374999999998
psnr_96.log,28.651249999999997
psnr_104.log,29.64874999999999
psnr_56.log,26.59874999999999
psnr_133.log,27.186875000000004
psnr_62.log,30.327812500000004
psnr_128.log,26.482187500000006
psnr_4.log,31.266250000000003
psnr_82.log,28.70625
psnr_78.log,29.545937499999994
psnr_126.log,27.738125000000004
psnr_136.log,26.601562500000004
psnr_120.log,28.055937500000006
psnr_46.log,25.61875
psnr_139.log,29.275624999999994
psnr_105.log,31.203750000000003
psnr_68.log,30.131874999999994
psnr_41.log,33.4871875
psnr_43.log,34.68031249999999
psnr_2.log,24.113749999999996
psnr_50.log,29.966250000000002
psnr_48.log,32.244375000000005
psnr_90.log,29.159687499999997
psnr_45.log,33.47875
psnr_32.log,28.4815625
psnr_69.log,29.675937499999993
psnr_23.log,32.6234375
psnr_47.log,31.101249999999993
psnr_14.log,27.720000000000002
psnr_36.log,24.7928125
psnr_146.log,27.1896875
psnr_135.log,28.6
psnr_115.log,32.78906249999999
psnr_88.log,27.69875
psnr_107.log,27.770625
psnr_59.log,28.84718749999999
psnr_108.log,27.080937500000005
psnr_6.log,31.277187500000004
psnr_117.log,25.821250000000003
psnr_21.log,25.630625000000002
psnr_119.log,19.222187500000004
psnr_145.log,26.0675
psnr_26.log,29.116874999999997
psnr_114.log,25.453750000000003
psnr_40.log,28.652187499999993
psnr_39.log,31.446562500000002
psnr_60.log,28.575937499999995
psnr_132.log,23.033125
psnr_37.log,30.467812499999997
psnr_54.log,24.7990625
psnr_102.log,28.92
psnr_151.log,23.611875000000005
psnr_58.log,24.969375000000003
psnr_28.log,35.63406249999999
psnr_91.log,25.985625
psnr_76.log,29.6521875
psnr_113.log,27.9659375
psnr_71.log,27.610937499999995
psnr_110.log,27.430937499999995
psnr_19.log,24.678750000000004
psnr_86.log,27.9696875
psnr_141.log,28.385937499999997
psnr_150.log,29.633125000000007
psnr_15.log,28.0390625
psnr_18.log,23.57
psnr_98.log,26.122187500000003
psnr_144.log,27.954687500000002
psnr_129.log,31.063750000000006
psnr_25.log,28.005000000000003
psnr_49.log,31.985625
psnr_127.log,27.459375000000005
psnr_94.log,29.3221875
psnr_149.log,27.978124999999995
psnr_44.log,25.1365625
psnr_10.log,23.0578125
psnr_35.log,24.58
psnr_3.log,28.9496875
psnr_147.log,27.322499999999998
psnr_83.log,19.576250000000005
psnr_79.log,29.141250000000003
psnr_93.log,26.877499999999994
psnr_72.log,29.053437500000005
psnr_80.log,24.6615625
psnr_57.log,22.006874999999997
psnr_77.log,25.800312499999993
psnr_51.log,31.7284375
psnr_42.log,35.20906250000001
psnr_20.log,34.207187499999996
psnr_63.log,32.83656250000001
psnr_124.log,28.087187500000002
psnr_112.log,27.284062500000005
psnr_95.log,29.95906249999999
psnr_137.log,28.44375
psnr_73.log,31.51375
psnr_81.log,23.326875000000005
psnr_121.log,27.412187499999998
psnr_13.log,25.285312500000003
psnr_22.log,23.804999999999993
psnr_134.log,31.9059375
psnr_8.log,31.733750000000004
psnr_34.log,32.950624999999995
psnr_99.log,31.526875
psnr_100.log,29.034375000000004
psnr_101.log,28.539062500000004
psnr_125.log,26.5278125
psnr_116.log,31.851875
psnr_89.log,26.205000000000002
psnr_138.log,29.172187499999996
psnr_5.log,25.996875000000003
psnr_53.log,31.199062500000004
psnr_74.log,27.855937499999996
psnr_17.log,23.452500000000004
psnr_85.log,24.790625000000002
psnr_65.log,28.275312499999995
psnr_52.log,32.50562500000001
psnr_142.log,27.7175
psnr_67.log,27.2090625
psnr_64.log,25.30281250000001
psnr_7.log,27.577812499999993
psnr_130.log,26.729999999999997
psnr_92.log,28.989374999999995
psnr_122.log,26.800000000000004
psnr_103.log,30.604687499999994
psnr_75.log,28.314062500000002
psnr_84.log,27.3971875
psnr_106.log,28.136562499999997
psnr_70.log,26.360312500000003
psnr_131.log,30.654999999999998
psnr_66.log,31.7071875
psnr_11.log,29.052812499999995
psnr_0.log,26.360937500000002
psnr_140.log,26.668750000000006
psnr_12.log,28.3128125
psnr_31.log,29.182812500000004
psnr_33.log,26.061562500000008
psnr_111.log,28.600312500000005
